is_active,type,title,description,tag,tag_int,rating,location,dob,email,metadata
1,10,Sample Title 0,This is a sample description for item 0.,"{tag1,tag7}","{5,15}",4.4,POINT(-29.012253630379234 2.3555800242206715),1977-12-05,user0@example.com,"{""key"": ""value0"", ""priority"": ""high""}"
0,7,Sample Title 1,This is a sample description for item 1.,"{tag3,tag6}","{2,13}",4.4,POINT(-64.64541391363517 -4.318132688707408),1985-06-08,user1@example.com,"{""key"": ""value1"", ""priority"": ""high""}"
0,1,Sample Title 2,This is a sample description for item 2.,"{tag1,tag6}","{9,14}",1.9,POINT(-15.546583250898749 -62.64582744057117),1990-11-11,user2@example.com,"{""key"": ""value2"", ""priority"": ""low""}"
0,9,Sample Title 3,This is a sample description for item 3.,"{tag1,tag7}","{7,16}",3.7,POINT(-67.2163771743572 -53.24632728550682),1980-07-31,user3@example.com,"{""key"": ""value3"", ""priority"": ""high""}"
0,4,Sample Title 4,This is a sample description for item 4.,"{tag1,tag7}","{6,15}",2.4,POINT(-164.16068753693145 73.01845032071842),1984-01-10,user4@example.com,"{""key"": ""value4"", ""priority"": ""high""}"
0,9,Sample Title 5,This is a sample description for item 5.,"{tag4,tag8}","{2,16}",4.3,POINT(154.2281950452163 14.108916463354106),1996-10-17,user5@example.com,"{""key"": ""value5"", ""priority"": ""high""}"
0,2,Sample Title 6,This is a sample description for item 6.,"{tag3,tag10}","{4,18}",2.9,POINT(-42.33732133671049 40.655319851408365),2006-01-28,user6@example.com,"{""key"": ""value6"", ""priority"": ""high""}"
0,1,Sample Title 7,This is a sample description for item 7.,"{tag5,tag10}","{5,13}",4.2,POINT(-131.44272363988802 -38.00734932665256),1982-02-27,user7@example.com,"{""key"": ""value7"", ""priority"": ""low""}"
0,9,Sample Title 8,This is a sample description for item 8.,"{tag4,tag10}","{9,17}",3.7,POINT(149.87656677965873 50.38151446597203),1987-03-14,user8@example.com,"{""key"": ""value8"", ""priority"": ""low""}"
0,1,Sample Title 9,This is a sample description for item 9.,"{tag4,tag9}","{9,12}",1.6,POINT(179.16358775023713 19.2324512298067),2001-03-07,user9@example.com,"{""key"": ""value9"", ""priority"": ""low""}"
0,6,Sample Title 10,This is a sample description for item 10.,"{tag2,tag6}","{4,19}",4.7,POINT(-51.122314468780104 4.068638675052256),1981-11-03,user10@example.com,"{""key"": ""value10"", ""priority"": ""high""}"
1,2,Sample Title 11,This is a sample description for item 11.,"{tag1,tag6}","{4,13}",2.9,POINT(-40.58747542858134 -84.33552279117747),1996-09-15,user11@example.com,"{""key"": ""value11"", ""priority"": ""low""}"
1,1,Sample Title 12,This is a sample description for item 12.,"{tag3,tag10}","{8,20}",3.1,POINT(115.98784401057605 -7.721483720632577),1986-08-06,user12@example.com,"{""key"": ""value12"", ""priority"": ""low""}"
1,8,Sample Title 13,This is a sample description for item 13.,"{tag5,tag8}","{7,12}",4.6,POINT(39.5313295100963 -64.0871235321606),1989-01-23,user13@example.com,"{""key"": ""value13"", ""priority"": ""high""}"
1,9,Sample Title 14,This is a sample description for item 14.,"{tag5,tag6}","{7,16}",3.8,POINT(-166.0598454045745 44.77744798299577),1978-12-02,user14@example.com,"{""key"": ""value14"", ""priority"": ""high""}"
0,3,Sample Title 15,This is a sample description for item 15.,"{tag1,tag9}","{10,15}",1.8,POINT(146.84055794278487 -26.56955701527812),1996-02-16,user15@example.com,"{""key"": ""value15"", ""priority"": ""high""}"
1,7,Sample Title 16,This is a sample description for item 16.,"{tag4,tag8}","{10,18}",1.6,POINT(93.51232701289803 -85.72803861601078),1977-10-28,user16@example.com,"{""key"": ""value16"", ""priority"": ""low""}"
0,1,Sample Title 17,This is a sample description for item 17.,"{tag3,tag10}","{4,13}",3.6,POINT(125.46448326705871 -53.63492306059557),1993-09-06,user17@example.com,"{""key"": ""value17"", ""priority"": ""high""}"
0,3,Sample Title 18,This is a sample description for item 18.,"{tag1,tag6}","{6,20}",1.7,POINT(-124.72819057370008 -27.578488705593706),1991-04-23,user18@example.com,"{""key"": ""value18"", ""priority"": ""high""}"
1,6,Sample Title 19,This is a sample description for item 19.,"{tag1,tag6}","{4,11}",4.6,POINT(-136.2222856529526 -32.983914260305596),1987-10-14,user19@example.com,"{""key"": ""value19"", ""priority"": ""low""}"
0,2,Sample Title 20,This is a sample description for item 20.,"{tag5,tag6}","{4,18}",1.2,POINT(-80.57199709507205 17.859127920451357),1977-05-09,user20@example.com,"{""key"": ""value20"", ""priority"": ""low""}"
0,10,Sample Title 21,This is a sample description for item 21.,"{tag2,tag6}","{2,11}",3.4,POINT(69.2093482159245 0.20870472444902077),1981-10-08,user21@example.com,"{""key"": ""value21"", ""priority"": ""high""}"
1,3,Sample Title 22,This is a sample description for item 22.,"{tag5,tag7}","{6,16}",2.5,POINT(2.7283135475865947 17.375846811253197),1996-02-05,user22@example.com,"{""key"": ""value22"", ""priority"": ""high""}"
0,1,Sample Title 23,This is a sample description for item 23.,"{tag3,tag8}","{3,19}",4.3,POINT(-32.29058008953635 42.36908538742895),1994-07-02,user23@example.com,"{""key"": ""value23"", ""priority"": ""low""}"
1,9,Sample Title 24,This is a sample description for item 24.,"{tag5,tag7}","{10,20}",3.3,POINT(-52.43574429632061 50.92094792488203),1986-05-04,user24@example.com,"{""key"": ""value24"", ""priority"": ""high""}"
1,1,Sample Title 25,This is a sample description for item 25.,"{tag5,tag7}","{10,11}",3.4,POINT(-38.572109253206946 84.17485820367807),1978-02-16,user25@example.com,"{""key"": ""value25"", ""priority"": ""low""}"
1,5,Sample Title 26,This is a sample description for item 26.,"{tag4,tag7}","{6,19}",4.9,POINT(95.82865511027893 -10.76069860810793),2002-10-02,user26@example.com,"{""key"": ""value26"", ""priority"": ""low""}"
0,8,Sample Title 27,This is a sample description for item 27.,"{tag1,tag8}","{10,17}",4.0,POINT(138.6198742643628 -77.24953408697407),2002-02-08,user27@example.com,"{""key"": ""value27"", ""priority"": ""low""}"
0,8,Sample Title 28,This is a sample description for item 28.,"{tag4,tag9}","{9,19}",3.9,POINT(-106.74792274640744 88.97460240879852),1990-02-23,user28@example.com,"{""key"": ""value28"", ""priority"": ""high""}"
1,8,Sample Title 29,This is a sample description for item 29.,"{tag2,tag9}","{9,16}",3.4,POINT(133.6606262625529 38.97784399648219),1976-06-03,user29@example.com,"{""key"": ""value29"", ""priority"": ""low""}"
0,8,Sample Title 30,This is a sample description for item 30.,"{tag2,tag8}","{2,20}",1.8,POINT(109.08473071689639 -60.04552792437906),1983-07-16,user30@example.com,"{""key"": ""value30"", ""priority"": ""low""}"
