id,is_active,type,title,description,tag,tag_int,rating,location,dob,email,metadata
103,0,5,Sample Title 0,This is a sample description for item 0.,"{tag5,tag10}","{9,14}",4.0,POINT(139.13477349383635 8.468083149709997),1991-04-18,user0@example.com,"{""key"": ""value0"", ""priority"": ""low""}"
2,1,2,Sample Title 1,This is a sample description for item 1.,"{tag5,tag8}","{2,15}",4.1,POINT(80.34424965491019 -45.927919348866396),1976-10-26,user1@example.com,"{""key"": ""value1"", ""priority"": ""low""}"
3,0,10,Sample Title 2,This is a sample description for item 2.,"{tag4,tag8}","{8,16}",2.3,POINT(-92.13927625249858 -70.53421612065083),1989-10-31,user2@example.com,"{""key"": ""value2"", ""priority"": ""low""}"
4,1,6,Sample Title 3,This is a sample description for item 3.,"{tag1,tag9}","{9,16}",4.7,POINT(-171.73602814638033 -74.38216245102971),1997-08-19,user3@example.com,"{""key"": ""value3"", ""priority"": ""high""}"
5,0,8,Sample Title 4,This is a sample description for item 4.,"{tag3,tag7}","{8,20}",1.8,POINT(-169.24657109653197 -58.61675885704166),2000-11-01,user4@example.com,"{""key"": ""value4"", ""priority"": ""high""}"
6,0,3,Sample Title 5,This is a sample description for item 5.,"{tag3,tag7}","{9,17}",2.5,POINT(-60.870284700368686 3.981180254569992),1982-01-11,user5@example.com,"{""key"": ""value5"", ""priority"": ""high""}"
7,0,9,Sample Title 6,This is a sample description for item 6.,"{tag3,tag10}","{10,13}",2.4,POINT(-42.69340119486793 51.610705086568544),1996-12-11,user6@example.com,"{""key"": ""value6"", ""priority"": ""low""}"
8,0,2,Sample Title 7,This is a sample description for item 7.,"{tag1,tag10}","{1,14}",1.3,POINT(169.77275994438435 82.9693477611828),1981-04-07,user7@example.com,"{""key"": ""value7"", ""priority"": ""low""}"
9,0,6,Sample Title 8,This is a sample description for item 8.,"{tag3,tag7}","{8,15}",3.0,POINT(173.12606976950428 67.62085239036335),1991-08-22,user8@example.com,"{""key"": ""value8"", ""priority"": ""high""}"
10,1,1,Sample Title 9,This is a sample description for item 9.,"{tag3,tag8}","{10,11}",1.3,POINT(69.83146746774779 -19.358691702657055),2000-08-09,user9@example.com,"{""key"": ""value9"", ""priority"": ""high""}"
11,0,4,Sample Title 10,This is a sample description for item 10.,"{tag5,tag7}","{5,20}",3.5,POINT(49.3071053452056 -23.520897371410427),1997-06-02,user10@example.com,"{""key"": ""value10"", ""priority"": ""low""}"
12,0,2,Sample Title 11,This is a sample description for item 11.,"{tag1,tag10}","{4,13}",4.6,POINT(118.35352310877425 14.755083071459765),1997-10-31,user11@example.com,"{""key"": ""value11"", ""priority"": ""low""}"
13,0,3,Sample Title 12,This is a sample description for item 12.,"{tag1,tag6}","{6,16}",4.8,POINT(17.15159377309803 -53.788851752103724),1993-07-30,user12@example.com,"{""key"": ""value12"", ""priority"": ""low""}"
14,0,9,Sample Title 13,This is a sample description for item 13.,"{tag2,tag6}","{7,14}",4.3,POINT(-56.80070046991959 67.017166416437),1995-09-10,user13@example.com,"{""key"": ""value13"", ""priority"": ""low""}"
15,0,8,Sample Title 14,This is a sample description for item 14.,"{tag3,tag8}","{1,19}",1.9,POINT(-125.0199606880609 -39.58470968483217),1986-04-06,user14@example.com,"{""key"": ""value14"", ""priority"": ""high""}"
16,1,2,Sample Title 15,This is a sample description for item 15.,"{tag3,tag9}","{9,13}",2.1,POINT(153.91484119025029 -52.66380460445551),1993-10-08,user15@example.com,"{""key"": ""value15"", ""priority"": ""low""}"
17,0,8,Sample Title 16,This is a sample description for item 16.,"{tag5,tag10}","{7,17}",4.5,POINT(118.12266592859157 26.845768231789307),2004-06-14,user16@example.com,"{""key"": ""value16"", ""priority"": ""high""}"
18,0,7,Sample Title 17,This is a sample description for item 17.,"{tag4,tag6}","{9,15}",5.0,POINT(-5.494255370856848 49.52863123621083),1992-05-17,user17@example.com,"{""key"": ""value17"", ""priority"": ""high""}"
19,1,9,Sample Title 18,This is a sample description for item 18.,"{tag4,tag6}","{3,16}",1.7,POINT(143.62476450735176 -77.64455181042884),1986-03-28,user18@example.com,"{""key"": ""value18"", ""priority"": ""high""}"
20,0,2,Sample Title 19,This is a sample description for item 19.,"{tag2,tag6}","{6,13}",4.8,POINT(79.11808849666227 46.23096432564526),1991-11-29,user19@example.com,"{""key"": ""value19"", ""priority"": ""low""}"
21,0,4,Sample Title 20,This is a sample description for item 20.,"{tag3,tag7}","{8,15}",1.1,POINT(-177.20753588306118 -15.35159124711707),1977-10-02,user20@example.com,"{""key"": ""value20"", ""priority"": ""low""}"
22,0,4,Sample Title 21,This is a sample description for item 21.,"{tag1,tag6}","{6,15}",4.3,POINT(-122.95847116399523 71.03543268428226),1989-07-14,user21@example.com,"{""key"": ""value21"", ""priority"": ""low""}"
23,0,2,Sample Title 22,This is a sample description for item 22.,"{tag5,tag6}","{2,15}",3.6,POINT(155.4327798652808 22.11392357709343),1979-12-03,user22@example.com,"{""key"": ""value22"", ""priority"": ""low""}"
24,1,9,Sample Title 23,This is a sample description for item 23.,"{tag2,tag9}","{6,17}",1.2,POINT(-110.51605684660221 -38.209472680590366),1993-01-27,user23@example.com,"{""key"": ""value23"", ""priority"": ""high""}"
25,1,1,Sample Title 24,This is a sample description for item 24.,"{tag2,tag8}","{2,12}",1.7,POINT(-39.415286150252626 -53.909810073695674),1976-10-15,user24@example.com,"{""key"": ""value24"", ""priority"": ""low""}"
26,0,1,Sample Title 25,This is a sample description for item 25.,"{tag5,tag8}","{3,15}",2.2,POINT(-20.280701193522702 8.251444241269269),1976-12-04,user25@example.com,"{""key"": ""value25"", ""priority"": ""low""}"
27,0,2,Sample Title 26,This is a sample description for item 26.,"{tag1,tag6}","{8,15}",1.7,POINT(-59.501704652089714 74.59122586553966),1990-12-01,user26@example.com,"{""key"": ""value26"", ""priority"": ""high""}"
28,0,7,Sample Title 27,This is a sample description for item 27.,"{tag2,tag8}","{6,15}",3.5,POINT(-141.56109178342257 -78.26034268750988),1995-01-05,user27@example.com,"{""key"": ""value27"", ""priority"": ""low""}"
29,1,5,Sample Title 28,This is a sample description for item 28.,"{tag2,tag7}","{4,11}",3.1,POINT(110.49891670567729 74.96936528631662),1987-10-30,user28@example.com,"{""key"": ""value28"", ""priority"": ""low""}"
30,0,1,Sample Title 29,This is a sample description for item 29.,"{tag1,tag8}","{3,15}",1.8,POINT(-163.85395220160726 74.31524027041439),1993-08-03,user29@example.com,"{""key"": ""value29"", ""priority"": ""high""}"
31,1,2,Sample Title 30,This is a sample description for item 30.,"{tag5,tag10}","{3,14}",1.5,POINT(-20.662900381234806 74.8737827893143),1979-01-09,user30@example.com,"{""key"": ""value30"", ""priority"": ""high""}"
32,0,7,Sample Title 31,This is a sample description for item 31.,"{tag5,tag9}","{5,18}",1.3,POINT(79.74382545576452 51.30640492489445),1989-06-04,user31@example.com,"{""key"": ""value31"", ""priority"": ""high""}"
33,0,7,Sample Title 32,This is a sample description for item 32.,"{tag5,tag10}","{10,19}",1.5,POINT(147.38113219344973 89.03990367563284),2005-02-11,user32@example.com,"{""key"": ""value32"", ""priority"": ""high""}"
34,0,7,Sample Title 33,This is a sample description for item 33.,"{tag5,tag9}","{4,19}",2.6,POINT(-159.33371197220876 -18.20752232155118),1979-01-29,user33@example.com,"{""key"": ""value33"", ""priority"": ""low""}"
35,1,8,Sample Title 34,This is a sample description for item 34.,"{tag2,tag7}","{8,15}",2.4,POINT(-154.92076055334942 -51.782265452125266),1977-11-01,user34@example.com,"{""key"": ""value34"", ""priority"": ""high""}"
36,1,7,Sample Title 35,This is a sample description for item 35.,"{tag3,tag9}","{3,15}",2.0,POINT(33.49182718252689 -38.921740000028414),1999-02-18,user35@example.com,"{""key"": ""value35"", ""priority"": ""high""}"
37,1,10,Sample Title 36,This is a sample description for item 36.,"{tag2,tag10}","{9,19}",2.3,POINT(-169.73677325596304 71.05751890788196),1978-01-17,user36@example.com,"{""key"": ""value36"", ""priority"": ""low""}"
38,0,7,Sample Title 37,This is a sample description for item 37.,"{tag2,tag7}","{8,11}",3.6,POINT(148.4945084725353 82.59430423238749),1994-07-29,user37@example.com,"{""key"": ""value37"", ""priority"": ""low""}"
39,0,4,Sample Title 38,This is a sample description for item 38.,"{tag1,tag8}","{1,11}",1.8,POINT(-60.758199840370324 19.806598082671698),1990-12-28,user38@example.com,"{""key"": ""value38"", ""priority"": ""high""}"
40,0,2,Sample Title 39,This is a sample description for item 39.,"{tag5,tag8}","{5,15}",3.0,POINT(-101.34019611393592 37.53226934943068),1978-06-27,user39@example.com,"{""key"": ""value39"", ""priority"": ""low""}"
41,1,9,Sample Title 40,This is a sample description for item 40.,"{tag3,tag10}","{10,14}",2.7,POINT(125.58679659721457 -47.35641263150621),1996-08-18,user40@example.com,"{""key"": ""value40"", ""priority"": ""high""}"
42,1,7,Sample Title 41,This is a sample description for item 41.,"{tag1,tag8}","{10,19}",2.5,POINT(173.44630244281274 -28.04522017542395),1986-01-22,user41@example.com,"{""key"": ""value41"", ""priority"": ""low""}"
43,0,7,Sample Title 42,This is a sample description for item 42.,"{tag5,tag9}","{6,14}",1.9,POINT(29.5617662918211 -16.515752964252144),1983-08-25,user42@example.com,"{""key"": ""value42"", ""priority"": ""high""}"
